"wp_event_id","post_status","description","hero_image_url","poster_url","featured_image_url","sold_out","website","facebook","amanat","anulat","bilete_doar_la_intrare"
"857926","publish","<strong>Genune [Black Metal - RO]</strong>
<strong>Concert Aniversar 1 an - Infinite Presence</strong>

&nbsp;

<strong>Genune</strong> este o trupă de black metal din Cluj-Napoca a cărei muzică inclină spre latura introspectivă și melancolică a genului, depășind totodată limitele acestuia prin prezența unor elemente de shoegaze, post-rock, electronica sau neofolk. Ei explorează teme precum timpul, conștiința, identitatea și reflecția existențială. Cel mai recent album al trupei este Infinite Presence, lansat in 2025 prin casa de discuri belgiana Consouling Sounds (cunoscută pentru trupe ca Amenra, Wiegedood, Jarboe, Gnaw Their Tongues) atăt pe CD cât și vinil.

&nbsp;

<strong>Mauna Sol [Post Black Metal - RO]</strong>

&nbsp;

<strong>Mauna Sol</strong> este o trupă românească înființată în 2019 de chitaristul Marius Licu. Inițial, proiectul a început în 2016 ca o explorare instrumentală în sfera black metal, dar s-a transformat semnificativ odată cu completarea lineupului: George Costan la voce, Bogdan Itu, chitară, Ionuț Cățeanu bass și Andrei Rențea tobe.
Muzica trupei are un puternic accent tematic datorită lui George, care joacă un rol esențial în crearea conținutului liric al trupei. Din punct de vedere instrumental, procesul compozițional este unul colaborativ, membrii îmbinând diversele lor influențe muzicale pentru a obține un sound omogen.
Mauna Sol a avut debutul live în Mai 2022 la Rockstadt Fest, într-o ediție specială dedicată trupelor de metal din Brașov. Acest eveniment a marcat un moment important pentru trupă, stabilindu-le prezența în scena muzicală locală.

&nbsp;

<strong>Gerrar [Black Metal - RO]</strong>

&nbsp;

După 1 an de pauză și schimbări, Gerrar revine într-o nouă formulă, cu puteri proaspete și piese noi. ""Încă din 2021 ne-am propus ca această poveste să continue în ciuda oricărui obstacol și iată că venim din nou în fața voastră pentru a împărtășii bune și rele, sub formă de piese cât ma sincere. Nu vrem să spunem prea multe, restul e surpriză. Ne-a fost dor de voi.""

&nbsp;

----------------------------------------------------------
<strong>REGULAMENT DE ORDINE INTERIOARĂ:</strong>
----------------------------------------------------------
🔺 Acces si Vârstă
Accesul minorilor cu vârsta cuprinsă între 12 și 18 ani este permis doar în baza unui bilet valabil și dacă sunt însoțiți de un părinte sau tutore legal care deține un bilet valabil de acces. Vă recomandăm insistent utilizarea căștilor de protecție fonică pentru copii.
Nu servim băuturi alcoolice minorilor.
🔺 Servire și Rezervări
Pe durata evenimentelor, servirea se face exclusiv la bar.
Achiziționarea biletului de intrare nu asigură rezervarea unui loc la masă.
Pentru loc la masă, este nevoie de rezervare, iar rezervarea se poate face printr-un mesaj privat pe Facebook sau Instagram.
Este interzisă introducerea în club și consumul băuturilor care nu sunt achiziționate din Machines Venue.
🔺 Comportament și Siguranță
Persoanele care vin în stare avansată de ebrietate nu au acces în club.
Persoanele care au ajuns într-o stare de ebrietate avansată nu vor mai fi servite cu alcool și vor fi escortate să părăsească localul.
Este strict INTERZIS consumul de substanțe ilegale în incinta și pe terasa Machines Venue.
Este interzis accesul în Machines Venue a persoanelor care au asupra lor arme albe sau orice alt obiect care poate fi folosit pentru a răni o persoană.
Persoanele care produc daune spațiului sau obiectelor de inventar deținute de Machines Venue sunt obligate să achite contravaloarea daunelor.
Persoanele care intră în Machines Venue sunt nevoite să accepte regulile localului.
Pentru buna desfășurare a evenimentului, organizatorii își rezervă dreptul de a interzice accesul persoanelor care nu respectă regulile de acces.
🔺 Responsabilitate și Media
Organizatorii nu sunt responsabili pentru bunurile participanților și nici pentru pierderea obiectelor lăsate la dulapurile de la garderobă.
Participarea la acest eveniment reprezintă acordul implicit pentru folosirea materialelor foto/video în care puteți fi surprinși pe platformele de social media proprii sau ale partenerilor noștri.
Programul evenimentelor poate suferi modificări care vor fi anunțate în event-ul creat pe FB și pe paginile de social media ale Machines Venue.
Organizatorii își rezervă dreptul de a modifica regulamentul în conformitate cu prevederile aflate în vigoare.
Contravaloarea biletelor de acces nu poate fi returnată.","https://www.ambilet.ro/wp-content/uploads/2026/04/Genune-banner-15.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Genune-afis-15.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Genune-banner-15.05.26.jpg","0",,"https://fb.me/e/8Vi6NezaM","0","0","0"
"858055","publish","<strong>BAREFOOT</strong>
<strong>Manifest pentru libertate și simplitate la Das Haus, Charlottenburg</strong>

&nbsp;

<strong>Azi ne descălțăm de oraș: 02 Mai, ziua în care natura și arta se întâlnesc la firul ierbii.</strong>

&nbsp;

Pe data de <strong>2 mai 2026</strong>, locația<strong> Das Haus din Charlottenburg (jud. Timiș)</strong> devine scena unui experiment senzorial unic în România: „<strong>BAREFOOT</strong>”. Între orele <strong>10:00 AM și 01:00 AM</strong>, participanții sunt invitați să renunțe la încălțăminte și la agitația urbană pentru 15 ore de muzică, teatru, mișcare și reconectare cu natura.

&nbsp;

Conceptul evenimentului gravitează în jurul libertății totale. Organizatorii, artiștii și echipa de staff vor păși desculți pe tot parcursul zilei, încurajând publicul să descopere beneficiile „împământării”. Facilitățile includ acces la saună, ciubăr și piscină, alături de o ofertă gastronomică variată, de la preparate în restaurant până la aromele autentice ale ceaunului.

&nbsp;

<strong>Experiența este structurată în trei acte majore:</strong>

•<strong>Unplugged Brunch (10:00 - 14:00</strong>): O dimineață sub semnul sunetelor acustice oferite de Benson Joel alături de invitații săi speciali. Artist solo cu o carieră de peste două decenii, Benson Joel propune o deschidere caldă, completată de sesiuni de yoga cu <strong>SATYA Yoga Studio.</strong>

•<strong>Day Time Jazz, Theater &amp; Wine (14:30 - 20:00)</strong>: Momentul culminant al artei, unde<strong> Trupa F.O.G.H. &amp; Co.,</strong> un ansamblu de muzicieni virtuozi și experimentați, va susține patru seturi de jazz de excepție. Intercalat, <strong>Trupa Basca</strong> va pune în scenă o piesă de teatru în aer liber. Cei de la <strong>Degetu’ Mic</strong> se vor asigura ca și cei mici să aibă parte de teatru si activități doar pentru ei. Activitatea fizică continuă cu traineri dedicați și o a doua sesiune de yoga susținută de WorldClass România.

•<strong>HOUSED (20:30 - 01:00</strong>): Noaptea se încheie energic cu o selecție fină de muzică electronică curată de <strong>Housed</strong>. Finalul va fi marcat simbolic prin lansarea lampioanelor, trimițând gândurile bune spre cer până la ediția următoare.

&nbsp;

Evenimentul este unul „family friendly”, oferind teatru pentru copii și facilități dedicate celor mici. Transportul este inclus în biletul Full Day, iar pentru cei care doresc să prelungească experiența, sunt disponibile 40 de locuri de cazare la locație.

&nbsp;

<em>„Azi ne descălțăm de oraș. Ne adunăm să stăm pur și simplu desculți prin iarbă, să ascultăm muzică de calitate, să privim o piesă de teatru, cei mari și cei mici și să ne bucurăm de prezența celorlalți fără barierele pe care ni le impune cotidianul,” declară Jeledințan Cristian, organizatorul evenimentului.</em>

&nbsp;

<strong>Informatii eveniment :
Dată &amp; Interval</strong> :02 Mai 2026, 10:00 – 01:00
<strong>Locație</strong>: Das Haus, Charlottenburg, Timiș
<strong>Artiști Muzicali</strong> : Benson Joel &amp; Special Guests, Trupa F.O.G.H. &amp; Friends, Housed
<strong>Teatru</strong>: Trupa Basca (Spectacole pentru adulți și copii), Degetu’ Mic (Teatru pentru copii)
<strong>Wellness &amp; Sport</strong> : SATYA Yoga Studio, WorldClass România, Piscină, Saună, Ciubăr
<strong>Politică Copii</strong> :Sub 14 ani: GRATUIT, doar insotiti de adulti | 14-18 ani și studenți: 50% reducere
<strong>Logistică</strong> : Transport inclus (Full Ticket), zonă specială de spălat picioarele
<strong>Cazare</strong> : 40 de locuri disponibile (cost suplimentar)

&nbsp;

<strong>Despre artisti :</strong>

<strong>Benson Joel Mixtapes</strong>: Cu o experiență de peste 20 de ani pe scenele din România și din străinătate, Benson Joel aduce o profunzime acustică rară, fiind acompaniat de muzicienilocali pentru un moment unplugged memorabil.

<strong>F.O.G.H. &amp; guests</strong>: Un colectiv de instrumentiști consacrați, recunoscuți pentru spiritul si tehnica unic combinate și capacitatea de a transforma jazz-ul într-o experiență vibrantă și accesibilă.

<strong>Trupa Basca:</strong> O trupă de teatru independentă care oferă o voce grupurilor vulnerabile, transformând problemele sociale în spectacole de teatru, film și muzică ce clădesc poduri între comunități, de data aceasta în cadrul neconvențional al grădinii din Charlottenburg.

<strong>Degetu’ mic</strong>: În domeniul artistic, a avea publicul ”la degetul mic” înseamnă că publicul râde cu artistul, plânge cu el, suferă, trăiește ceea ce transmite actorul pe scenă, iar asta se întâmplă doar dacă actorul este foarte bun în ceea ce face !! Astfel, Degetu Mic înseamnă servicii de cea mai înaltă calitate.

&nbsp;

<strong>Contact pentru Presă</strong>
Pentru acreditări, interviuri sau materiale vizuale suplimentare:
Jeledintan Cristian
Organizator &amp; PR
Telefon: 0729749780
E-mail: jeledintancristian@gmail.com

&nbsp;

<em>Notă pentru jurnaliști: La locație va exista o zonă amenajată pentru igiena picioarelor în momentul încălțării, asigurând confortul tuturor participanților la plecare.</em>","https://www.ambilet.ro/wp-content/uploads/2026/04/Barefoot2-banner-02.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Barefoot2-afis-02.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Barefoot2-banner-02.05.26.jpg","0",,"https://fb.me/e/7GjzmH1b5","0","0","0"
"858108","publish","Băieți buni sau răi? Fete rele sau bune? Vino în Oldies Pub pe 8 mai ca să afli care-i cum!

Începem seara cu piese de dragoste, dar nu vă lăsați păcăliți de începutul cuminte. Continuăm în forță!

Promitem: și băieții și fetele vor fi ROCK!🤘

&nbsp;

Nu vor lipsi din setlist piese vechi, foarte iubite.

&nbsp;

Special Guests:

Diana Toader

Maria Cojocaru

Stefi Popa.

&nbsp;

Băieți buni vs. Fete rele. Sau invers?

Vrei să afli care-i cum? Locul tău e în fața scenei!","https://www.ambilet.ro/wp-content/uploads/2026/04/Antarct-banner-08.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Antract-afis-08.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Antarct-banner-08.05.26.jpg","0",,"https://fb.me/e/7ZaY3PCuP","0","0","0"
"858232","publish","Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag! Va asteptam cu drag!","https://www.ambilet.ro/wp-content/uploads/2026/04/Stand-Up-banner-24.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Stand-Up-afis-24.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Stand-Up-banner-24.04.26.jpg","0",,,"0","0","0"
"858545","publish","Profu' zăpăcit prezintă M4T3M4G1C4

&nbsp;

<strong>Matemagica – spectacolul unde matematica devine magie</strong>

&nbsp;

<strong>MateMagica</strong> este un spectacol educativ interactiv, în care<strong> arta spectacolului se îmbină armonios cu știința</strong>, transformând matematica într-o experiență captivantă, accesibilă și plină de surprize.

&nbsp;

Conceput sub forma unui <strong>show dinamic, cu umor și suspans</strong>, MateMagica îi provoacă pe spectatori să își testeze cunoștințele sau să descopere, pas cu pas, concepte matematice de bază – fără formule plictisitoare, ci prin joc, curiozitate și participare directă.

&nbsp;

<strong>Ce se întâmplă în spectacol?</strong>

• <strong>Trucuri matematice spectaculoase</strong>

Numerele par să „ghicească"" gândurile publicului, iar calculele imposibile devin realitate chiar sub ochii spectatorilor.

• <strong>Îmbinarea matematicii cu biologia și geografia</strong>

Cifrele se leagă de hărți, țări și animale,demonstrând că matematica este peste tot în jurul nostru.

• <strong>Magic Square (pătratul magic)</strong>

Un moment fascinant în care ordinea numerelor ascunde o logică uimitoare, dezvăluită pas cu pas, cu implicarea publicului.

• <strong>Adunări și scăderi interactive</strong>

Operații simple care, puse în contextul potrivit, devin jocuri de inteligență și atenție.

•<strong> Predicții matematice</strong>

Rezultate care par imposibil de anticipat, dar care demonstrează puterea logicii și a raționamentului matematic.

&nbsp;

<strong>Pentru cine este MateMagica?</strong>

&nbsp;

Spectacolul se adresează <strong>copiilor, tinerilor și adulților</strong>, fiind adaptabil nivelului de vârstă și de înțelegere al publicului. Este ideal pentru școli, festivaluri, evenimente culturale sau spectacole educative.

&nbsp;

<strong>MateMagica</strong> nu este doar un spectacol despre matematică, ci o experiență care demonstrează că <strong>învățarea poate fi distractivă, surprinzătoare și memorabilă.</strong>

&nbsp;

Durata spectacol: 55 de minute","https://www.ambilet.ro/wp-content/uploads/2026/04/Profu-zapacit-banner-18.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Profu-zapacit-banner-18.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Profu-zapacit-banner-18.04.26.jpg","0",,,"0","0","0"
"859067","publish","🌄✨🎶 <strong>Folk pe Deal – Ediția a II-a</strong> 🎶✨🌄

&nbsp;

📅 10–11–12 IULIE 2026 🗓️
📍 Gheorghe Doja, DJ104D, Făgăraș 📌

&nbsp;

🎸🔥 <strong>VINERI, 10 IULIE</strong> 🔥🎸
🎸 Tapinarii ☆ Focul Viu 🔥
🎸 Vlady Cnejevici • Dorin Andone • Teo Boar
🎸 Adi Bezna
🎸 Ovidiu Mihăilescu
🎸 Titus Constantin

🎸🌙 <strong>SÂMBĂTĂ, 11 IULIE</strong> 🌙🎸
🎸 Emeric Imre • Marius Roje • Jimi el Laco
🎸 Maria Gheorghiu
🎸 Magda &amp; Radu Negru
🎸 Iulia Caraiman
🎸 Piticu Folk
🎸 Raluca Cizmăru

&nbsp;

🔥🏕️🌌 Muzică live, foc de tabără și seri de neuitat sub cerul liber","https://www.ambilet.ro/wp-content/uploads/2026/04/folk-pe-deal-banner-2026.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/folk-pe-deal-afis-2026-ultimul.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/folk-pe-deal-banner-2026.jpg","0",,,"0","0","0"
"859936","publish","Frumoasele sarbatori au trecut.
La Porto Arte, distractia continua.
Sambata 25 aprilie, Adrian Ilie &amp; Friends, intr-un nou show pentru numerosii lor prieteni.
Dar, bucurie mare, show-ul va fi pe terasa de la malul Begai.

Bilete si rerzervari pe : ambilet.ro / 0728 893 331.

Va asteptam cu drag.","https://www.ambilet.ro/wp-content/uploads/2026/04/Adrian-Ilie-banner-25.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Adrian-Ilie-banner-25.04.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Adrian-Ilie-banner-25.04.26.jpg","0",,"https://fb.me/e/jGMQuWAj5","0","0","0"
"860067","publish","HU
Funky groove-ok, súlyos mélyek, szétszakadó vokálok és tüzes fúvósok —
jazz, soul, blues és balkáni őrület egy kupacban.
+ egy adag megmagyarázhatatlan jókedv.

&nbsp;

Ez a Funkorporation.
Hallgasd meg, aztán értsd meg:
<span style=""color: #3366ff;""><strong><a style=""color: #3366ff;"" href=""https://sptfy.com/Qj6m"" target=""_blank"" rel=""noopener"">https://sptfy.com/Qj6m</a></strong></span>

&nbsp;

📅 2026.05.01.
🕗 20:00
🎟️ 35 RON – ha előrelátó vagy
🎟️ 45 RON – ha az utolsó pillanatban eszmélsz
Gyere! Mozogj! Találkozunk ott!

&nbsp;

RO
Groove-uri funky, bass greu, voci care rup și suflători încinși —
jazz, soul, blues și influențe balcanice, toate amestecate bine.
+ o doză serioasă de vibe bun.

&nbsp;

Asta e Funkorporation.
Ascultă și o să înțelegi:
<span style=""color: #3366ff;""><strong><a style=""color: #3366ff;"" href=""https://sptfy.com/Qj6m"" target=""_blank"" rel=""noopener"">https://sptfy.com/Qj6m</a></strong></span>

&nbsp;

📅 01.05.2026
🕗 20:00
🎟️ 35 RON – dacă te miști din timp
🎟️ 45 RON – dacă te hotărăști pe ultima sută de metri
Vino! Dansează! Ne vedem acolo!

&nbsp;

EN
Funky grooves, heavy low ends, raw vocals and blazing brass —
jazz, soul, blues and Balkan madness all thrown in together.
+ a solid dose of unexplainable good vibes.

&nbsp;

This is Funkorporation.
Listen first. Then you’ll get it:
<span style=""color: #3366ff;""><strong><a style=""color: #3366ff;"" href=""https://sptfy.com/Qj6m"" target=""_blank"" rel=""noopener"">https://sptfy.com/Qj6m</a></strong></span>

&nbsp;

📅 01/05/2026
🕗 20:00
🎟️ 35 RON — if you plan ahead
🎟️ 45 RON — if you wake up last minute
Come! Move! See you there!","https://www.ambilet.ro/wp-content/uploads/2026/04/Funkorporation-banner-01.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Funkorporation-banner-01.05.26.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Funkorporation-banner-01.05.26.jpg","0",,"https://fb.me/e/5Fvn17J8r","0","0","0"
"860326","publish","Tralala Events te invită la un concert de suflet alături de Dinu Olărașu, un nume de referință al folkului românesc.

Cu o carieră de peste patru decenii, Dinu Olărașu a cucerit publicul prin versuri sensibile, profunzime și o autenticitate rară, devenind una dintre vocile care au definit acest gen în România.

În deschidere, invitat special: Dani Năsăudean ✨
O seară caldă, cu muzică autentică și emoții care se cântă împreună.

📅 Data: 25 aprilie 2026
🕗 Ora: 20:00 (open doors: 19:00)
📍 Locație: @Pub Corso Cafe
💸 Intrare: 50 lei — bilete achiziționate online
💸 Intrare: 60 lei — bilete achiziționate la intrare
☎️ Rezervări: 0753 074 959

Te așteptăm! 🎶","https://www.ambilet.ro/wp-content/uploads/2026/04/dinu-olarasu-25.04.26-banner-bistrita.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/dinu-olarasu-25.04.26-banner-bistrita.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/dinu-olarasu-25.04.26-banner-bistrita.jpg","0",,"https://fb.me/e/43HtggfvU","0","0","0"
"860386","publish","Tralala Events te invită la un concert de suflet alături de Mircea Vintilă, una dintre vocile emblematice ale folkului românesc.

Cu o carieră impresionantă și piese care au trecut testul timpului, Mircea Vintilă aduce pe scenă emoție, nostalgie și energie autentică, într-un concert care te va purta prin cele mai frumoase amintiri muzicale.

În deschidere, invitat special: Dani Năsăudean ✨
O seară caldă, cu muzică autentică și emoții care se cântă împreună.

📅 Data: 24 mai 2026
🕗 Ora: 19:00 (open doors: 18:00)
📍 Locație: @Pub Corso Cafe
💸 Intrare: 50 lei — bilete achiziționate online
💸 Intrare: 60 lei — bilete achiziționate la intrare
☎️ Rezervări: 0753 074 959

Te așteptăm! 🎶","https://www.ambilet.ro/wp-content/uploads/2026/04/mircea-vintila-24.04.26-banner-bistrita.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/Mircea-Vintila-24.05.26-Afis.jpg","https://www.ambilet.ro/wp-content/uploads/2026/04/mircea-vintila-24.04.26-banner-bistrita.jpg","0",,"https://fb.me/e/anQJpwhJ1","0","0","0"
